2022-03-22 12:27:04,018 || INFO || Successfully opened files ..\Testing\Large Image.bmp & ..\Testing\Small Image.bmp || LSB_Image
2022-03-22 12:27:04,018 || INFO || Successfully Extracted metadata [['00100011', '00100011', '00101110'], ['00101110', '01011100', '01010100'], ['01100101', '01110011', '01110100'], ['01101001', '01101110', '01100111'], ['01011100', '01010011', '01101101'], ['01100001', '01101100', '01101100'], ['00100000', '01001001', '01101101'], ['01100001', '01100111', '01100101']] || LSB_Image
2022-03-22 12:27:04,018 || INFO || Successfully Created Stego Object [['00100011', '00100011', '00101110'], ['00101110', '01011100', '01010100'], ['01100101', '01110011', '01110100'], ['01101001', '01101110', '01100111'], ['01011100', '01010011', '01101101'], ['01100001', '01101100', '01101100'], ['00100000', '01001001', '01101101'], ['01100001', '01100111', '01100101']] || LSB_Image
2022-03-22 12:27:04,022 || INFO || Successfully Wrote New Image || LSB_Image
2022-03-22 12:34:37,424 || INFO || Successfully opened files ..\Testing\Large Image.bmp & ..\Testing\Small Image.bmp || LSB_Image
2022-03-22 12:34:37,424 || INFO || Extracting metadata ..\Testing\Small Image, .bmp || LSB_Image
2022-03-22 12:34:37,424 || INFO || Added Delimiters: ##..\Testing\Small Image.bmp## || LSB_Image
2022-03-22 12:34:37,424 || INFO || Convert to Binary: 1000110010001100101110001011100101110001010100011001010111001101110100011010010110111001100111010111000101001101101101011000010110110001101100001000000100100101101101011000010110011101100101001011100110001001101101011100000010001100100011 || LSB_Image
2022-03-22 12:34:37,424 || INFO || Adding Padding: 001000110010001100101110001011100101110001010100011001010111001101110100011010010110111001100111010111000101001101101101011000010110110001101100001000000100100101101101011000010110011101100101001011100110001001101101011100000010001100100011 || LSB_Image
2022-03-22 12:34:37,425 || INFO || Final Metadata Extracted: [['00100011', '00100011', '00101110'], ['00101110', '01011100', '01010100'], ['01100101', '01110011', '01110100'], ['01101001', '01101110', '01100111'], ['01011100', '01010011', '01101101'], ['01100001', '01101100', '01101100'], ['00100000', '01001001', '01101101'], ['01100001', '01100111', '01100101']] || LSB_Image
2022-03-22 12:34:37,425 || INFO || Successfully Created Stego Object || LSB_Image
2022-03-22 12:34:37,428 || INFO || Successfully Wrote New Image to ..\Testing\Test1.bmp || LSB_Image
2022-03-22 12:36:03,226 || INFO || Successfully opened files ..\Testing\Large Image.bmp & ..\Testing\Small Image.bmp || LSB_Image
2022-03-22 12:36:03,226 || INFO || Extracting metadata ..\Testing\Small Image, .bmp || LSB_Image
2022-03-22 12:36:03,226 || INFO || Added Delimiters: ##..\Testing\Small Image.bmp## || LSB_Image
2022-03-22 12:36:03,226 || INFO || Convert to Binary: 1000110010001100101110001011100101110001010100011001010111001101110100011010010110111001100111010111000101001101101101011000010110110001101100001000000100100101101101011000010110011101100101001011100110001001101101011100000010001100100011 || LSB_Image
2022-03-22 12:36:03,226 || INFO || Adding Padding: 001000110010001100101110001011100101110001010100011001010111001101110100011010010110111001100111010111000101001101101101011000010110110001101100001000000100100101101101011000010110011101100101001011100110001001101101011100000010001100100011 || LSB_Image
2022-03-22 12:36:03,226 || INFO || Final Metadata Extracted: [['00100011', '00100011', '00101110'], ['00101110', '01011100', '01010100'], ['01100101', '01110011', '01110100'], ['01101001', '01101110', '01100111'], ['01011100', '01010011', '01101101'], ['01100001', '01101100', '01101100'], ['00100000', '01001001', '01101101'], ['01100001', '01100111', '01100101']] || LSB_Image
2022-03-22 12:36:03,226 || INFO || Successfully Created Stego Object || LSB_Image
2022-03-22 12:36:03,230 || INFO || Successfully Wrote New Image to ..\Testing\Test1.bmp || LSB_Image
2022-03-22 12:53:40,926 || INFO || Successfully opened files ..\Testing\Grey_Scale_Dog_Large_Test1.bmp & ..\Testing\Coloured_Dog_Small_Test1.bmp || LSB_Image
2022-03-22 12:53:40,927 || INFO || Extracting metadata ..\Testing\Coloured_Dog_Small_Test1, .bmp || LSB_Image
2022-03-22 12:53:40,927 || INFO || Added Delimiters: ##..\Testing\Coloured_Dog_Small_Test1.bmp## || LSB_Image
2022-03-22 12:53:40,927 || INFO || Convert to Binary: 100011001000110010111000101110010111000101010001100101011100110111010001101001011011100110011101011100010000110110111101101100011011110111010101110010011001010110010001011111010001000110111101100111010111110101001101101101011000010110110001101100010111110101010001100101011100110111010000110001001011100110001001101101011100000010001100100011 || LSB_Image
2022-03-22 12:53:40,927 || INFO || Adding Padding: 00100011001000110010111000101110010111000101010001100101011100110111010001101001011011100110011101011100010000110110111101101100011011110111010101110010011001010110010001011111010001000110111101100111010111110101001101101101011000010110110001101100010111110101010001100101011100110111010000110001001011100110001001101101011100000010001100100011 || LSB_Image
2022-03-22 12:53:40,927 || INFO || Final Metadata Extracted: [['00100011', '00100011', '00101110'], ['00101110', '01011100', '01010100'], ['01100101', '01110011', '01110100'], ['01101001', '01101110', '01100111'], ['01011100', '01000011', '01101111'], ['01101100', '01101111', '01110101'], ['01110010', '01100101', '01100100'], ['01011111', '01000100', '01101111']] || LSB_Image
2022-03-22 12:53:40,927 || INFO || Successfully Created Stego Object || LSB_Image
2022-03-22 12:53:42,196 || INFO || Successfully Wrote New Image to ..\Testing\Test1.bmp || LSB_Image
2022-03-22 15:18:42,078 || INFO || Successfully opened files ..\TestInputs\MultiColour_Large2.bmp & ..\TestInputs\MultiColour_Small2.bmp || LSB_Image
2022-03-22 15:18:42,078 || INFO || Extracting metadata ..\TestInputs\MultiColour_Small2, .bmp || LSB_Image
2022-03-22 15:18:42,078 || INFO || Added Delimiters: ###..\TestInputs\MultiColour_Small2.bmp### || LSB_Image
2022-03-22 15:18:42,079 || INFO || Convert to Binary: 1000110010001100100011001011100010111001011100010101000110010101110011011101000100100101101110011100000111010101110100011100110101110001001101011101010110110001110100011010010100001101101111011011000110111101110101011100100101111101010011011011010110000101101100011011000011001000101110011000100110110101110000001000110010001100100011 || LSB_Image
2022-03-22 15:18:42,079 || INFO || Adding Padding: 001000110010001100100011001011100010111001011100010101000110010101110011011101000100100101101110011100000111010101110100011100110101110001001101011101010110110001110100011010010100001101101111011011000110111101110101011100100101111101010011011011010110000101101100011011000011001000101110011000100110110101110000001000110010001100100011 || LSB_Image
